scientific_name,common_name,status,kingdom,class,act,nsw,nt,qld,sa,tas,vic,wa,group
Euastacus gumar,"Bloodclaw Crayfish, Blood Crayfish",Endangered,Animalia,Malacostraca,0,1,0,0,0,0,0,0,Invertebrates
Euastacus guruhgi,Swollen Crayfish,Critically Endangered,Animalia,Malacostraca,0,1,0,0,0,0,0,0,Invertebrates
Euastacus guwinus,Tianjara Crayfish,Critically Endangered,Animalia,Malacostraca,0,1,0,0,0,0,0,0,Invertebrates
Euastacus hystricosus,Conondale Spiny Crayfish,Endangered,Animalia,Malacostraca,0,0,0,1,0,0,0,0,Invertebrates
Euastacus jagabar,Blue-black Crayfish,Critically Endangered,Animalia,Malacostraca,0,1,0,0,0,0,0,0,Invertebrates
Euastacus jagara,Jagara Hairy Crayfish,Critically Endangered,Animalia,Malacostraca,0,0,0,1,0,0,0,0,Invertebrates
Euastacus maccai,Terrestrial Crayfish,Endangered,Animalia,Malacostraca,0,1,0,0,0,0,0,0,Invertebrates
Euastacus maidae,"Hinterland Spiny Crayfish, Hinterland Crayfish",Critically Endangered,Animalia,Malacostraca,0,0,0,1,0,0,0,0,Invertebrates
Euastacus mirangudjin,Orange-bellied Crayfish,Endangered,Animalia,Malacostraca,0,1,0,1,0,0,0,0,Invertebrates
Euastacus monteithorum,"Monteith's Crayfish, Monteith's Spiny Crayfish",Endangered,Animalia,Malacostraca,0,0,0,1,0,0,0,0,Invertebrates
Euastacus morgani,Morgan's Crayfish,Critically Endangered,Animalia,Malacostraca,0,1,0,0,0,0,0,0,Invertebrates
Euastacus polysetosus,Many-bristled Crayfish,Endangered,Animalia,Malacostraca,0,1,0,0,0,0,0,0,Invertebrates
Euastacus rieki,Riek's Crayfish,Endangered,Animalia,Malacostraca,1,1,0,0,0,0,0,0,Invertebrates
Euastacus robertsi,"Robert's Crayfish, Robert's Spiny Crayfish",Endangered,Animalia,Malacostraca,0,0,0,1,0,0,0,0,Invertebrates
Euastacus simplex,"Simple Crayfish, Small Mountain Crayfish",Endangered,Animalia,Malacostraca,0,1,0,0,0,0,0,0,Invertebrates
Euastacus sp. 1 coughrani (McCormack & Fetzner),"Coughran's Crayfish, Arte Spiny Crayfish",Endangered,Animalia,Malacostraca,0,0,0,0,0,0,1,0,Invertebrates
Euastacus spinichelatus,Small Crayfish,Endangered,Animalia,Malacostraca,0,1,0,0,0,0,0,0,Invertebrates
Euastacus suttoni,Sutton's Crayfish,Endangered,Animalia,Malacostraca,0,1,0,1,0,0,0,0,Invertebrates
Euastacus urospinosus,Maleny Crayfish,Endangered,Animalia,Malacostraca,0,0,0,1,0,0,0,0,Invertebrates
Euastacus vesper,Cudgegong Giant Spiny Crayfish,Critically Endangered,Animalia,Malacostraca,0,1,0,0,0,0,0,0,Invertebrates
Euastacus yigara,"Cardwell Crayfish, Cardwell Hairy Crayfish",Critically Endangered,Animalia,Malacostraca,0,0,0,1,0,0,0,0,Invertebrates
Eubalaena australis,Southern Right Whale,Endangered,Animalia,Mammalia,0,1,0,1,1,1,1,1,Mammals
Eucalyptus absita,Badgingarra Box,Endangered,Plantae,Magnoliopsida,0,0,0,0,0,0,0,1,Plants
Eucalyptus aggregata,Black Gum,Vulnerable,Plantae,Magnoliopsida,1,1,0,0,0,0,1,0,Plants
Eucalyptus alligatrix subsp. limaensis,Lima Stringybark,Endangered,Plantae,Magnoliopsida,0,0,0,0,0,0,1,0,Plants
Eucalyptus alligatrix subsp. miscella,a stringybark,Vulnerable,Plantae,Magnoliopsida,0,1,0,0,0,0,0,0,Plants
Eucalyptus aquatica,"Mountain Swamp Gum, Broad-leaved Sallee, Broad-leaved Sally",Critically Endangered,Plantae,Magnoliopsida,0,1,0,0,0,0,0,0,Plants
Eucalyptus argophloia,"Queensland White Gum, Queensland Western White Gum, Lapunyah, Scrub Gum, White Gum",Vulnerable,Plantae,Magnoliopsida,0,0,0,1,0,0,0,0,Plants
Eucalyptus argutifolia,"Yanchep Mallee, Wabling Hill Mallee",Vulnerable,Plantae,Magnoliopsida,0,0,0,0,0,0,0,1,Plants
Eucalyptus articulata,Ponton Creek Mallee,Vulnerable,Plantae,Magnoliopsida,0,0,0,0,0,0,0,1,Plants
Eucalyptus beaniana,Bean's Ironbark,Vulnerable,Plantae,Magnoliopsida,0,0,0,1,0,0,0,0,Plants
Eucalyptus beardiana,Beard's Mallee,Vulnerable,Plantae,Magnoliopsida,0,0,0,0,0,0,0,1,Plants
Eucalyptus benthamii,"Camden White Gum, Nepean River Gum",Critically Endangered,Plantae,Magnoliopsida,0,1,0,0,0,0,0,0,Plants
Eucalyptus boliviana,"Bolivia Stringybark, Bolivia Hill Stringybark",Critically Endangered,Plantae,Magnoliopsida,0,1,0,0,0,0,0,0,Plants
Eucalyptus brevipes,Mukinbudin Mallee,Endangered,Plantae,Magnoliopsida,0,0,0,0,0,0,0,1,Plants
Eucalyptus broviniensis,-,Endangered,Plantae,Magnoliopsida,0,0,0,1,0,0,0,0,Plants
Eucalyptus burdettiana,Burdett Gum,Endangered,Plantae,Magnoliopsida,0,0,0,0,0,0,0,1,Plants
Eucalyptus cadens,Warby Range Swamp Gum,Vulnerable,Plantae,Magnoliopsida,0,0,0,0,0,0,1,0,Plants
Eucalyptus caleyi subsp. ovendenii,Ovenden's Ironbark,Vulnerable,Plantae,Magnoliopsida,0,1,0,0,0,0,0,0,Plants
Eucalyptus camfieldii,Camfield's Stringybark,Vulnerable,Plantae,Magnoliopsida,0,1,0,0,0,0,0,0,Plants
Eucalyptus canobolensis,"Silver-leaf Candlebark, Mt Canobolas Candlebark",Endangered,Plantae,Magnoliopsida,0,1,0,0,0,0,0,0,Plants
Eucalyptus ceracea,Seppelt Range Gum,Vulnerable,Plantae,Magnoliopsida,0,0,0,0,0,0,0,1,Plants
Eucalyptus conglomerata,Swamp Stringybark,Endangered,Plantae,Magnoliopsida,0,0,0,1,0,0,0,0,Plants
Eucalyptus copulans,-,Endangered,Plantae,Magnoliopsida,0,1,0,0,0,0,0,0,Plants
Eucalyptus coronata,Crowned Mallee,Vulnerable,Plantae,Magnoliopsida,0,0,0,0,0,0,0,1,Plants
Eucalyptus crenulata,"Silver Gum, Buxton Gum",Endangered,Plantae,Magnoliopsida,0,0,0,0,0,0,1,0,Plants
Eucalyptus crispata,Yandanooka Mallee,Vulnerable,Plantae,Magnoliopsida,0,0,0,0,0,0,0,1,Plants
Eucalyptus crucis subsp. crucis,Silver Mallee,Vulnerable,Plantae,Magnoliopsida,0,0,0,0,0,0,0,1,Plants
Eucalyptus crucis subsp. praecipua,Paynes Find Mallee,Endangered,Plantae,Magnoliopsida,0,0,0,0,0,0,0,1,Plants
Eucalyptus cuprea,Mallee Box,Endangered,Plantae,Magnoliopsida,0,0,0,0,0,0,0,1,Plants
Eucalyptus dalveenica,Dalveen Blue Box,Critically Endangered,Plantae,Magnoliopsida,0,0,0,1,0,0,0,0,Plants
Eucalyptus dolorosa,"Dandaragan Mallee, Mount Misery Mallee",Endangered,Plantae,Magnoliopsida,0,0,0,0,0,0,0,1,Plants
Eucalyptus forresterae,Brumby Sallee,Endangered,Plantae,Magnoliopsida,0,1,0,0,0,0,1,0,Plants
Eucalyptus glaucina,Slaty Red Gum,Vulnerable,Plantae,Magnoliopsida,0,1,0,1,0,0,0,0,Plants
Eucalyptus gunnii subsp. divaricata,Miena Cider Gum,Endangered,Plantae,Magnoliopsida,0,0,0,0,0,1,0,0,Plants
Eucalyptus hallii,Goodwood Gum,Vulnerable,Plantae,Magnoliopsida,0,0,0,1,0,0,0,0,Plants
Eucalyptus imlayensis,"Imlay Mallee, Mount Imlay Mallee",Critically Endangered,Plantae,Magnoliopsida,0,1,0,0,0,0,0,0,Plants
Eucalyptus impensa,Eneabba Mallee,Endangered,Plantae,Magnoliopsida,0,0,0,0,0,0,0,1,Plants
Eucalyptus infera,Durikai Mallee,Vulnerable,Plantae,Magnoliopsida,0,0,0,1,0,0,0,0,Plants
Eucalyptus insularis,Twin Peak Island Mallee,Endangered,Plantae,Magnoliopsida,0,0,0,0,0,0,0,1,Plants
Eucalyptus johnsoniana,Johnson's Mallee,Vulnerable,Plantae,Magnoliopsida,0,0,0,0,0,0,0,1,Plants
Eucalyptus kabiana,Mount Beerwah Mallee,Vulnerable,Plantae,Magnoliopsida,0,0,0,1,0,0,0,0,Plants
Eucalyptus kartzoffiana,Araluen Gum,Vulnerable,Plantae,Magnoliopsida,0,1,0,0,0,0,0,0,Plants
Eucalyptus langleyi,"Albatross Mallee, Green Mallee Ash",Vulnerable,Plantae,Magnoliopsida,0,1,0,0,0,0,0,0,Plants
Eucalyptus largeana,Craven Grey Box,Endangered,Plantae,Magnoliopsida,0,1,0,0,0,0,0,0,Plants
Eucalyptus lateritica,Laterite Mallee,Vulnerable,Plantae,Magnoliopsida,0,0,0,0,0,0,0,1,Plants
Eucalyptus leprophloia,"Scaly Butt Mallee, Scaly-butt Mallee",Endangered,Plantae,Magnoliopsida,0,0,0,0,0,0,0,1,Plants
Eucalyptus macarthurii,"Camden Woollybutt, Paddys River Box",Endangered,Plantae,Magnoliopsida,0,1,0,0,0,0,0,0,Plants
Eucalyptus mckieana,McKie's Stringybark,Vulnerable,Plantae,Magnoliopsida,0,1,0,0,0,0,0,0,Plants
Eucalyptus merrickiae,Goblet Mallee,Vulnerable,Plantae,Magnoliopsida,0,0,0,0,0,0,0,1,Plants
Eucalyptus mooreana,"Mountain White Gum,  King Leopold Range Mallee, Moore's Gum",Vulnerable,Plantae,Magnoliopsida,0,0,0,0,0,0,0,1,Plants
Eucalyptus morrisbyi,"Morrisby's Gum, Morrisbys Gum",Critically Endangered,Plantae,Magnoliopsida,0,0,0,0,0,1,0,0,Plants
Eucalyptus nicholii,"Narrow-leaved Peppermint, Narrow-leaved Black Peppermint",Vulnerable,Plantae,Magnoliopsida,0,1,0,0,0,0,0,0,Plants
Eucalyptus nudicaulis,Mt Isa Mallee,Endangered,Plantae,Magnoliopsida,0,0,0,1,0,0,0,0,Plants
Eucalyptus pachycalyx subsp. banyabba,Banyabba Shiny-barked Gum,Endangered,Plantae,Magnoliopsida,0,1,0,0,0,0,0,0,Plants
Eucalyptus paedoglauca,Mt Stuart Ironbark,Vulnerable,Plantae,Magnoliopsida,0,0,0,1,0,0,0,0,Plants
Eucalyptus paliformis,Wadbilliga Ash,Critically Endangered,Plantae,Magnoliopsida,0,1,0,0,0,0,0,0,Plants
Eucalyptus paludicola,"Mount Compass Swamp Gum, Fleurieu Swamp Gum, Marsh Gum",Endangered,Plantae,Magnoliopsida,0,0,0,0,1,0,0,0,Plants
Eucalyptus parramattensis subsp. decadens,"Earp's Gum, Earp's Dirty Gum",Vulnerable,Plantae,Magnoliopsida,0,1,0,0,0,0,0,0,Plants
Eucalyptus parvula,Small-leaved Gum,Vulnerable,Plantae,Magnoliopsida,0,1,0,0,0,0,0,0,Plants
Eucalyptus phoenix,Brumby Mallee-gum,Critically Endangered,Plantae,Magnoliopsida,0,0,0,0,0,0,1,0,Plants
Eucalyptus platydisca,Jimberlana Mallee,Vulnerable,Plantae,Magnoliopsida,0,0,0,0,0,0,0,1,Plants
Eucalyptus pruiniramis,"Midlands Gum, Jingymia Gum",Endangered,Plantae,Magnoliopsida,0,0,0,0,0,0,0,1,Plants
Eucalyptus pulverulenta,"Silver-leaved Mountain Gum, Silver-leaved Gum",Vulnerable,Plantae,Magnoliopsida,0,1,0,0,0,0,0,0,Plants
Eucalyptus pumila,Pokolbin Mallee,Vulnerable,Plantae,Magnoliopsida,0,1,0,0,0,0,0,0,Plants
Eucalyptus raveretiana,Black Ironbox,Vulnerable,Plantae,Magnoliopsida,0,0,0,1,0,0,0,0,Plants
Eucalyptus recta,Silver Mallet,Endangered,Plantae,Magnoliopsida,0,0,0,0,0,0,0,1,Plants
Eucalyptus recurva,Mongarlowe Mallee,Critically Endangered,Plantae,Magnoliopsida,0,1,0,0,0,0,0,0,Plants
Eucalyptus rhodantha,Rose Mallee,Vulnerable,Plantae,Magnoliopsida,0,0,0,0,0,0,0,1,Plants
Eucalyptus robertsonii subsp. hemisphaerica,Robertson's Peppermint,Vulnerable,Plantae,Magnoliopsida,0,1,0,0,0,0,0,0,Plants
Eucalyptus rubida subsp. barbigerorum,Blackbutt Candlebark,Vulnerable,Plantae,Magnoliopsida,0,1,0,0,0,0,0,0,Plants
Eucalyptus scoparia,"Wallangarra White Gum, Willow Gum",Vulnerable,Plantae,Magnoliopsida,0,1,0,1,0,0,0,0,Plants
Eucalyptus scopulorum,-,Critically Endangered,Plantae,Magnoliopsida,0,1,0,0,0,0,0,0,Plants
"Eucalyptus sp. Cattai (Gregson s.n., 28 Aug 1954)",-,Critically Endangered,Plantae,Magnoliopsida,0,1,0,0,0,0,0,0,Plants
Eucalyptus steedmanii,Steedmans Gum,Vulnerable,Plantae,Magnoliopsida,0,0,0,0,0,0,0,1,Plants
Eucalyptus stenostoma,Jillaga Ash,Endangered,Plantae,Magnoliopsida,0,1,0,0,0,0,0,0,Plants
Eucalyptus strzeleckii,Strzelecki Gum,Vulnerable,Plantae,Magnoliopsida,0,0,0,0,0,0,1,0,Plants
Eucalyptus sturgissiana,Ettrema Mallee,Endangered,Plantae,Magnoliopsida,0,1,0,0,0,0,0,0,Plants
Eucalyptus suberea,"Cork Mallee, Mount Lesueur Mallee",Vulnerable,Plantae,Magnoliopsida,0,0,0,0,0,0,0,1,Plants
Eucalyptus synandra,Jingymia Mallee,Vulnerable,Plantae,Magnoliopsida,0,0,0,0,0,0,0,1,Plants
Eucalyptus taurina,Helidon Ironbark,Endangered,Plantae,Magnoliopsida,0,0,0,1,0,0,0,0,Plants
Eucalyptus tetrapleura,Square-fruited Ironbark,Vulnerable,Plantae,Magnoliopsida,0,1,0,0,0,0,0,0,Plants
Eucalyptus virens,-,Vulnerable,Plantae,Magnoliopsida,0,0,0,1,0,0,0,0,Plants
Eucalyptus x balanites,"Cadda Road Mallee, Cadda Mallee",Endangered,Plantae,Magnoliopsida,0,0,0,0,0,0,0,1,Plants
Eucalyptus x phylacis,Meelup Mallee,Endangered,Plantae,Magnoliopsida,0,0,0,0,0,0,0,1,Plants
Eucryphia wilkiei,-,Vulnerable,Plantae,Magnoliopsida,0,0,0,1,0,0,0,0,Plants
Eulamprus kosciuskoi,Alpine Water Skink,Vulnerable,Animalia,Reptilia,1,1,0,0,0,0,1,0,Reptiles
Eulamprus leuraensis,Blue Mountains Water Skink,Endangered,Animalia,Reptilia,0,1,0,0,0,0,0,0,Reptiles
