scientific_name,common_name,status,kingdom,class,act,nsw,nt,qld,sa,tas,vic,wa,group
Galaxias mcdowalli,McDowall's Galaxias,Critically Endangered,Animalia,Actinopterygii,0,0,0,0,0,0,1,0,Fish
Galaxias mungadhan,Dargo Galaxias,Critically Endangered,Animalia,Actinopterygii,0,0,0,0,0,0,1,0,Fish
Galaxias parvus,Swamp Galaxias,Vulnerable,Animalia,Actinopterygii,0,0,0,0,0,1,0,0,Fish
Galaxias rostratus,"Flathead Galaxias, Beaked Minnow, Flat-headed Galaxias, Flat-headed Jollytail, Flat-headed Minnow",Critically Endangered,Animalia,Actinopterygii,0,1,0,0,1,0,1,0,Fish
Galaxias sp. nov. 'Hunter',"Hunter Galaxias, Hunter Upland Galaxias",Critically Endangered,Animalia,Actinopterygii,0,1,0,0,0,0,0,0,Fish
Galaxias sp. nov. 'Moroka',Moroka Galaxias,Critically Endangered,Animalia,Actinopterygii,0,0,0,0,0,0,1,0,Fish
Galaxias sp. nov. 'Morwell',Morwell Galaxias,Critically Endangered,Animalia,Actinopterygii,0,0,0,0,0,0,1,0,Fish
Galaxias sp. nov. 'Yalmy',Yalmy Galaxias,Critically Endangered,Animalia,Actinopterygii,0,0,0,0,0,0,1,0,Fish
Galaxias supremus,Kosciuszko Galaxias,Critically Endangered,Animalia,Actinopterygii,0,1,0,0,0,0,0,0,Fish
Galaxias tantangara,Stocky Galaxias,Critically Endangered,Animalia,Actinopterygii,0,1,0,0,0,0,0,0,Fish
Galaxias tanycephalus,Saddled Galaxias,Vulnerable,Animalia,Actinopterygii,0,0,0,0,0,1,0,0,Fish
Galaxias terenasus,Roundsnout Galaxias,Endangered,Animalia,Actinopterygii,0,1,0,0,0,0,1,0,Fish
Galaxias truttaceus (Western Australian population),Western Trout Minnow,Endangered,Animalia,Actinopterygii,0,0,0,0,0,0,0,1,Fish
Galaxiella munda,"Western Dwarf Galaxias, Western Mud Minnow",Vulnerable,Animalia,Actinopterygii,0,0,0,0,0,0,0,1,Fish
